Location,Month,Model,RMSE,MAE
BagoOshiro,Mar,ARIMA,38.13584239500807,36.224445892816604
BagoOshiro,Mar,LSTM,71.52911983383022,69.79586690266927
BagoOshiro,Mar,GRU,64.74922896514595,63.65507405598959
BagoOshiro,Mar,LSTM-GRU,56.51667417244565,55.0353993733724
BagoOshiro,Mar,BiLSTM,65.86025533621071,64.63352864583334
BagoOshiro,Mar,Transformer,19.15053244252486,15.648024495442707
BagoOshiro,Apr,ARIMA,55.86826004911987,46.69755387596445
BagoOshiro,Apr,LSTM,43.09158335528635,31.525742594401038
BagoOshiro,Apr,GRU,38.003774814930495,27.32293802897135
BagoOshiro,Apr,LSTM-GRU,43.2038490991155,31.537207031249995
BagoOshiro,Apr,BiLSTM,43.34304110065563,29.830740356445308
BagoOshiro,Apr,Transformer,50.657920278543905,34.4300313313802
BagoOshiro,May,ARIMA,212.74175040831574,197.14629860853577
BagoOshiro,May,LSTM,67.18142650804467,65.13068949381511
BagoOshiro,May,GRU,56.19008800688862,49.25195617675782
BagoOshiro,May,LSTM-GRU,88.37695810035027,86.48961181640625
BagoOshiro,May,BiLSTM,62.56866096881747,59.42434997558595
BagoOshiro,May,Transformer,91.04687975832573,89.09522298177085
BagoOshiro,Jun,ARIMA,200.94258861979895,184.6577068663518
BagoOshiro,Jun,LSTM,113.21641808098994,85.51246948242188
BagoOshiro,Jun,GRU,118.00235967666868,83.6192097981771
BagoOshiro,Jun,LSTM-GRU,117.04562834514473,85.2769246419271
BagoOshiro,Jun,BiLSTM,117.96371525186262,84.1698486328125
BagoOshiro,Jun,Transformer,125.65337923667839,80.94714660644532
BagoOshiro,Jul,ARIMA,60.6264287781179,59.10659384016939
BagoOshiro,Jul,LSTM,45.076387386682875,37.50211995442709
BagoOshiro,Jul,GRU,47.45983016981195,39.18354695638021
BagoOshiro,Jul,LSTM-GRU,46.29389939627014,44.9107401529948
BagoOshiro,Jul,BiLSTM,46.68209322590657,39.45518391927084
BagoOshiro,Jul,Transformer,66.0925460328365,60.544524129231775
BagoOshiro,Aug,ARIMA,72.46173752502534,46.033266303382135
BagoOshiro,Aug,LSTM,50.47298794145356,42.723718261718744
BagoOshiro,Aug,GRU,36.801864559027926,30.500727335611987
BagoOshiro,Aug,LSTM-GRU,43.99430796735739,36.16754048665364
BagoOshiro,Aug,BiLSTM,48.10985140312385,40.25721130371093
BagoOshiro,Aug,Transformer,23.73394657375644,23.584737141927093
BagoOshiro,Sep,ARIMA,107.77771428520552,81.81517867283341
BagoOshiro,Sep,LSTM,57.68516221268067,52.015369669596346
BagoOshiro,Sep,GRU,58.556056709411905,48.414565022786455
BagoOshiro,Sep,LSTM-GRU,58.70014907000506,48.051405843098955
BagoOshiro,Sep,BiLSTM,57.77317751297123,52.25958150227864
BagoOshiro,Sep,Transformer,59.31758457607784,45.30968627929687
BagoOshiro,Oct,ARIMA,96.13450642158118,56.10409531786505
BagoOshiro,Oct,LSTM,123.49957302801029,87.89832865397136
BagoOshiro,Oct,GRU,126.34766246815101,89.92520243326824
BagoOshiro,Oct,LSTM-GRU,122.64896449467194,85.86587829589844
BagoOshiro,Oct,BiLSTM,125.9394324828893,90.63352254231772
BagoOshiro,Oct,Transformer,138.47894111553995,105.9009989420573
BagoOshiro,Nov,ARIMA,135.6407294505799,114.00655886980053
BagoOshiro,Nov,LSTM,26.354937964045064,19.57100219726563
BagoOshiro,Nov,GRU,25.19705842242534,18.875781250000006
BagoOshiro,Nov,LSTM-GRU,24.193685877891237,18.46448059082032
BagoOshiro,Nov,BiLSTM,26.4613670392589,19.641487630208342
BagoOshiro,Nov,Transformer,26.765453387142564,19.945722452799487
