Location,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
PhilipsManolo,1979, 30.2 , 11.1 , 67.9 , 35.5 , 200.0 , 438.5 , 174.8 , 201.4 , 253.5 , 205.5 , 122.5 , 130.0 
PhilipsManolo,1980, 270.4 , 99.4 , 23.8 , 120.9 , 164.7 , 341.9 , 321.8 , 397.5 , 304.4 , 447.0 , 108.5 , 182.1 
PhilipsManolo,1981, 442.8 , 72.3 , 60.7 , 28.2 , 241.4 , 197.2 , 406.1 , 92.2 , 284.5 , 229.5 , 185.5 , 129.3 
MalukoManolo,1974, 174 , 127 , 77 , 98 , 206 , 353 , 257 , 128 , 261 , 377 , 178 , 257 
MalukoManolo,1975, 279 , 148 , 155 , 183 , 423 , 444 , 225 , 205 , 266 , 257 , 201 , 131 
MalukoManolo,1976, 268 , 119 , 63 , 100 , 178 , 256 , 101 , 268 , 178 , 178 , 267 , 129 
MalukoManolo,1977, 135 , 277 , 78 , 19 , 175 , 254 , 437 , 333 , 115 , 121 , 203 , 49 
MalukoManolo,1978, 126 , 72 , 96 , 111 , 123 , 333 , 228 , 418 , 235 , 261 , 204 , 211 
MalukoManolo,1979, 49 , 20 , 56 , 42 , 210 , 480 , 296 , 100 , 148 , 184 , 181 , 200 
MalukoManolo,1980, 187 , 126 , 15 , 135 , 125 , 353 , 257 , 242 , 200 , 230 , 206 , 163 
Sasa,1952, 33.9 , 70.6 , 20.1 , 167.0 , 154.7 , 192.5 , 151.3 , 87.1 , 231.7 , 113.5 , 238.2 , 241.8 
Sasa,1953, 211.2 , 71.6 , 24.7 , 105.6 , 305.0 , 252.2 , 281.5 , 158.8 , 197.1 , 166.8 , 281.0 , 61.5 
Sasa,1954, 19.2 , 114.8 , 129.8 , 131.8 , 180.1 , 183.7 , 375.2 , 231.7 , 87.8 , 193.0 , 117.6 , 588.3 
Sasa,1955, 175.2 , 16.7 , 139.1 , 137.8 , 245.1 , 205.6 , 221.8 , 99.1 , 193.2 , 264.9 , 153.6 , 154.2 
Sasa,1956, 151.3 , 175.8 , 45.0 , 192.1 , 231.5 , 123.0 , 168.5 , 162.3 , 268.2 , 206.5 , 161.0 , 299.4 
Sasa,1957, 157.8 , 122.5 , 58.5 , 178.2 , 268.7 , 209.5 , 217.1 , 68.1 , 78.9 , 186.0 , 136.8 , 44.2 
Sasa,1958, 57.6 , 13.6 , 42.5 , 70.1 , 374.2 , 225.3 , 57.9 , 272.6 , 183.3 , 70.6 , 153.1 , 101.9 
Sasa,1959, 108.3 , 19.9 , 85.9 , 134.1 , 247.7 , 233.5 , 203.3 , 144.5 , 145.5 , 236.6 , 146.3 , 86.6 
Sasa,1960, 58.3 , 77.1 , 145.5 , 93.4 , 138.6 , 185.6 , 309.5 , 155.8 , 137.8 , 170.0 , 120.3 , 133.0 
Sasa,1961, 142.8 , 258.1 , 57.5 , 165.3 , 161.0 , 195.2 , 128.5 , 175.6 , 112.1 , 163.2 , 89.9 , 173.5 
Sasa,1962, 248.6 , 230.6 , 92.5 , 256.6 , 214.7 , 114.8 , 204.7 , 52.0 , 188.7 , 138.2 , 131.6 , 86.0 
Sasa,1963, 63.4 , 102.8 , 144.8 , 107.8 , 154.0 , 21.4 , 388.1 , 119.1 , 184.1 , 151.8 , 82.0 , 57.5 
Sasa,1964, 48.5 , 220.1 , 79.6 , 270.6 , 263.7 , 148.3 , 92.4 , 140.1 , 111.3 , 116.1 , 103.1 , 84.1 
Sasa,1965, 170.0 , 180.8 , 179.6 , 262.6 , 178.2 , 194.2 , 85.6 , 186.1 , 278.7 , 24.6 , 128.3 , 135.0 
Sasa,1966, 142.0 , 27.0 , 30.5 , 120.3 , 478.2 , 49.5 , 149.3 , 153.6 , 157.6 , 193.5 , 225.1 , 97.1 
Sasa,1967, 96.6 , 64.3 , 92.1 , 138.5 , 224.2 , 100.9 , 146.6 , 37.9 , 61.4 , 96.5 , 40.0 , 29.0 
Sasa,1968, 222.2 , 26.9 , 39.9 , 29.2 , 245.6 , 49.5 , 171.7 , 261.2 , 126.8 , 228.1 , 74.5 , 75.6 
Sasa,1969, 151.3 , 96.8 , 57.3 , 89.8 , 174.6 , 295.0 , 86.8 , 177.7 , 291.2 , 159.7 , 246.7 , 177.3 
Sasa,1970, 101.3 , 200.3 , 119.8 , 49.4 , 141.6 , 122.1 , 249.8 , 239.2 , 168.7 , 176.3 , 138.6 , 85.9 
